case_id,category,root_cause,confidence,evidence,osi_layer,next_command,fix_steps,human_review_required,rule_findings,expected_fault,evaluation
C003,VLAN,The trunk interface connecting SW1 and SW2 does not allow VLAN 30.,High,"Users in VLAN 30 cannot communicate across two switches. | VLAN 30 must cross the inter-switch link between SW1 and SW2. | show interfaces trunk output lists allowed VLANs 10,20, but VLAN 30 is not listed.",Layer 2,show interfaces trunk,Identify the trunk interfaces connecting SW1 and SW2. | Add VLAN 30 to the allowed VLAN list on the trunk interface on both switches. | Run show interfaces trunk to verify VLAN 30 is allowed and active. | Verify inter-switch communication between PC1 and PC2 in VLAN 30.,True,No deterministic rule violation detected,Trunk does not allow VLAN 30.,Correct
C001,VLAN,PC1 is assigned to the wrong VLAN on switch port Fa0/1.,High,"PC1 cannot communicate with PC2 although both are connected to the same switch. | PC1 is connected to SW1 Fa0/1 and PC2 to Fa0/2, and both should be in VLAN 10. | show interfaces fa0/1 switchport indicates the access mode VLAN is 20 instead of VLAN 10.",Layer 2 - Data Link,show interfaces fa0/1 switchport | show interfaces fa0/2 switchport | show vlan brief,Access configuration mode for interface Fa0/1 on SW1. | Change the access VLAN of interface Fa0/1 to VLAN 10. | Verify the port configuration using show interfaces fa0/1 switchport. | Test connectivity between PC1 and PC2.,True,No deterministic rule violation detected,PC1 access port is assigned to the wrong VLAN.,Correct
C002,VLAN,The required VLAN 30 is missing from the switch configuration.,High,A PC connected to Fa0/10 cannot reach other department PCs. | The PC should belong to VLAN 30. | show vlan brief indicates that VLAN 30 is absent. | Deterministic rule checker findings confirm that the required VLAN is missing.,Layer 2 - Data Link,show vlan brief | show running-config interface FastEthernet0/10,Access global configuration mode on SW1. | Create VLAN 30 and assign an appropriate name. | Assign interface Fa0/10 to VLAN 30 using switchport access vlan 30. | Verify the VLAN exists and the interface is assigned correctly using show vlan brief.,True,Required VLAN is missing,Required VLAN is missing from the switch.,Correct
C004,VLAN,A native VLAN mismatch exists on the trunk link between SW1 and SW2.,High,Devices on two switches have intermittent or failed communication after trunk configuration. | SW1 and SW2 are connected by a trunk with different native VLANs. | show interfaces trunk indicates SW1 native VLAN is 99 and SW2 native VLAN is 1.,Layer 2,show interfaces trunk | show vlan brief,Review the trunk configuration on both SW1 and SW2. | Ensure the native VLAN is consistent across both ends of the trunk link. | Verify trunk stability and traffic flow after correcting the native VLAN mismatch.,True,No deterministic rule violation detected,Native VLAN mismatch exists on the trunk.,Correct
C005,Gateway,The PC is configured with an incorrect default gateway IP address that does not match the local subnet router interface.,High,PC address is 192.168.10.20/24. | Router gateway should be 192.168.10.1. | Default Gateway is incorrectly set to 192.168.20.1. | Gateway mismatch detected by deterministic rule checker.,Layer 3,show ip interface brief | show ip route,Verify the correct gateway IP address assigned to the local router interface. | Update the PC default gateway configuration to 192.168.10.1. | Verify network connectivity by pinging an external subnet address from the PC.,True,Gateway mismatch detected,Default gateway does not belong to the PC subnet.,Correct
C006,Gateway,"The router gateway interface GigabitEthernet0/0 is administratively down, preventing PCs from reaching remote networks and pinging their gateway.",High,Multiple PCs cannot reach remote networks and cannot ping their router gateway. | PCs connect to R1 G0/0. | show ip interface brief shows GigabitEthernet0/0 is administratively down/down. | Deterministic rule findings confirm the interface is administratively down.,Layer 3,show running-config interface GigabitEthernet0/0 | show ip interface brief,Access the router R1 configuration mode. | Navigate to interface GigabitEthernet0/0. | Execute the 'no shutdown' command to bring the interface up. | Verify the interface status using 'show ip interface brief'. | Test connectivity by pinging the router gateway from a PC.,True,Interface is administratively down,Gateway interface is administratively down.,Correct
C007,Gateway,An IP address conflict exists on the subnet involving the gateway IP 192.168.10.1 and changing MAC addresses.,High,A PC reports an IP conflict and network access is unstable. | PC1 and another device are configured in the same subnet. | show arp indicates 192.168.10.1 appears with changing MAC addresses. | The PC configuration uses 192.168.10.1. | Deterministic rule findings detected a duplicate IP.,Layer 3,show arp | show ip arp inspection logs,Identify the conflicting devices and their respective MAC addresses using the ARP table. | Determine which device is improperly utilizing the gateway IP 192.168.10.1. | Reconfigure or disconnect the rogue device to resolve the duplicate IP conflict. | Verify that the IP conflict warning clears and stable network access is restored.,True,Duplicate IP detected,PC has an IP conflict with the default gateway.,Correct
C008,Gateway,"The PC has an incorrect subnet mask configured, causing communication failures with its default gateway.",High,PC can reach some local devices but cannot reach its default gateway. | PC is configured with IP 192.168.10.20 and Mask 255.255.0.0. | The network is configured for /24. | Wrong subnet mask detected.,Layer 3,show ip interface brief | show ip dhcp pool,Update the PC network adapter configuration to use the correct subnet mask of 255.255.255.0. | Verify IP configuration using ipconfig or equivalent. | Ping the default gateway to confirm connectivity.,True,Wrong subnet mask detected,Incorrect subnet mask causes incorrect local network determination.,Incorrect
C009,DHCP,"The DHCP pool for VLAN 10 is missing on the router, causing the PC to fall back to an APIPA address.",High,PC automatically receives a 169.254.x.x address instead of a lab address. | PC is connected to VLAN 10 and should receive an address from the R1 DHCP pool. | ipconfig shows IPv4 169.254.12.8 with DHCP Enabled Yes. | show ip dhcp pool indicates there is no pool for VLAN 10.,Layer 3/4,show ip dhcp pool | show running-config | include dhcp,Configure the DHCP pool for VLAN 10 on router R1 with the correct network and subnet mask. | Configure the default gateway and any necessary options for the VLAN 10 DHCP pool. | Exclude statically assigned gateway or network device IP addresses using ip dhcp excluded-address. | Release and renew the IP address on the PC using ipconfig /renew and verify successful address assignment.,True,No deterministic rule violation detected,DHCP pool for the client network is missing.,Correct
C010,DHCP,The DHCP pool has no available addresses because the excluded address range covers the entire subnet.,High,R1 provides DHCP for 192.168.20.0/24. | show running-config shows ip dhcp excluded-address 192.168.20.1 192.168.20.254. | show ip dhcp pool indicates 0 addresses available.,Layer 3/4,show ip dhcp pool | show ip dhcp binding,"Review the current DHCP excluded-address configuration. | Modify the excluded address range to only exclude the necessary gateway and static IP addresses, leaving the rest of the 192.168.20.0/24 subnet available for DHCP clients. | Verify that addresses are now available in the DHCP pool using show ip dhcp pool. | Test a new client joining the network to verify it successfully obtains an IP address.",True,No deterministic rule violation detected,DHCP excluded-address configuration excludes the entire address pool.,Correct
C011,DHCP,The switch interface for VLAN 20 is missing the IP helper-address configuration required to forward DHCP requests to the central DHCP server.,High,Clients in VLAN 20 cannot obtain DHCP addresses from the central DHCP server. | The DHCP server is located on another subnet. | show running-config interface vlan 20 shows no ip helper-address configured.,Layer 3,show running-config interface vlan 20 | show ip dhcp pool,Access global configuration mode on SW1. | Navigate to interface vlan 20 configuration mode. | Configure the correct IP helper-address pointing to the central DHCP server IP. | Save the configuration. | Verify that clients in VLAN 20 successfully obtain an IP address via DHCP.,True,No deterministic rule violation detected,DHCP relay/helper address is missing.,Correct
C012,DHCP,The DHCP server is assigning an incorrect default gateway IP address.,High,The DHCP server network is configured as 192.168.30.0/24. | The topology states the gateway should be 192.168.30.1. | The host ipconfig shows an assigned gateway of 192.168.30.254. | A gateway mismatch was detected by the deterministic rule checker.,Layer 3,show ip dhcp binding | show running-config | section dhcp,Review the DHCP pool configuration on the DHCP server or router. | Correct the default-router parameter in the DHCP pool to 192.168.30.1. | Release and renew the IP address on the PC using ipconfig /release and ipconfig /renew. | Verify that the PC receives the correct gateway and can successfully ping the router.,True,Gateway mismatch detected,DHCP pool provides the wrong default gateway.,Correct
C013,DNS,"The PC is configured with a different DNS server IP address than the one defined in the topology, leading to DNS request timeouts.",High,PC can ping a web server by IP address but cannot access it using its hostname. | Topology specifies PC uses DNS server 192.168.50.10. | ipconfig shows DNS Servers are actually 192.168.60.10. | nslookup for server.example.local results in a request timed out.,Layer 7,show running-config | show hosts,Verify the correct DNS server IP address assignment for the network. | Update the PC DNS server configuration from 192.168.60.10 to the correct 192.168.50.10 address. | Test hostname resolution using nslookup after the configuration change. | Verify successful web server access via hostname.,True,No deterministic rule violation detected,PC is configured with the wrong DNS server.,Correct
C014,DNS,Clients can reach the DNS server IP but the DNS service is not responding to requests.,High,All clients report DNS resolution failures. | The DNS server is located on the internal server network. | ping 192.168.50.10 is successful. | nslookup reports that the server failed to respond. | show interfaces g0/1 shows the server interface up/up.,Layer 7,show processes cpu | show running-config,Verify that the DNS service or daemon is running on the DNS server. | Check DNS server application logs for faults or service crashes. | Restart the DNS service if necessary. | Test name resolution from a client using nslookup after the service check.,True,No deterministic rule violation detected,DNS service is unavailable even though the server is reachable.,Correct
C015,DNS,An access control list (ACL) is explicitly denying UDP port 53 DNS traffic from the client subnet to the DNS server.,High,Clients can reach the DNS server but DNS queries from the client subnet fail. | DNS server IP is 192.168.50.10 and clients are on 192.168.10.0/24. | show access-lists contains: deny udp 192.168.10.0 0.0.0.255 host 192.168.50.10 eq 53.,Layer 4,show access-lists | show ip interface,Review the ACL rule blocking UDP port 53 traffic from 192.168.10.0/24 to 192.168.50.10. | Modify or remove the deny entry in the ACL to permit DNS queries. | Ensure a permit statement for UDP port 53 is correctly placed within the active ACL. | Verify functionality by performing a DNS query from a client to the DNS server.,True,No deterministic rule violation detected,ACL blocks DNS queries from the client subnet.,Correct
C016,DNS,The DNS server is responding with a Non-existent domain error for app.example.local.,High,Ping to the server IP succeeds but the application using the server name fails. | Client has network connectivity to the server. | nslookup app.example.local returns Non-existent domain while the DNS server responds successfully.,Layer 7,show hosts | nslookup,Verify the DNS server configuration on the client. | Check if the DNS record for app.example.local exists on the designated DNS server. | Add the missing DNS A record or correct the hostname entry. | Test name resolution using nslookup to verify successful resolution.,True,No deterministic rule violation detected,Required DNS record is missing.,Correct
C017,Routing,The router R1 is missing a route to the remote 192.168.30.0/24 network.,High,PC can reach its local gateway but cannot reach a remote network. | R1 connects 192.168.10.0/24 to a remote 192.168.30.0/24 network. | show ip route: no route for 192.168.30.0/24. | Required route is missing.,Layer 3,show ip route | show ip interface brief,Determine the correct next-hop IP address or exit interface for the 192.168.30.0/24 network. | Configure the required static route on R1. | Verify the route is present in the routing table using show ip route. | Test end-to-end connectivity from the PC to the remote network.,True,Required route is missing,Required route to the remote network is missing.,Correct
C018,Routing,The routing table entry for network 10.10.20.0 points to the incorrect next hop IP address 10.10.30.2 instead of 10.10.30.1.,High,"Traffic to a remote network is sent to the wrong next hop. | R1 has two possible paths to the destination. | The output of show ip route 10.10.20.0 shows the routing entry points to 10.10.30.2, but the correct next hop is 10.10.30.1.",Layer 3,show running-config | include route | show ip route | show ip route 10.10.20.0,Verify whether the incorrect route is a static route or learned via a dynamic routing protocol. | Remove the incorrect route or adjust routing protocol metrics/attributes favoring 10.10.30.2. | Configure or peer to ensure the correct route is established pointing to 10.10.30.1. | Verify the routing table entry by running 'show ip route 10.10.20.0'. | Perform a traceroute to confirm traffic is forwarded to the correct next hop.,True,No deterministic rule violation detected,Static route has an incorrect next-hop address.,Incorrect
C019,Routing,R1 is not advertising the 192.168.40.0/24 network into the OSPF process.,Medium,OSPF adjacency between R1 and R2 is in the FULL state. | R1 owns the 192.168.40.0/24 subnet. | The 192.168.40.0/24 subnet is missing from R2's OSPF routing table (show ip route ospf).,Layer 3,show running-config | section ospf | show ip ospf interface brief,"Inspect R1's running configuration to check if the 192.168.40.0/24 network is included in the OSPF process. | Add the missing 'network 192.168.40.0 0.0.0.255 area <area-id>' statement under the router ospf configuration on R1, or enable OSPF directly on the interface. | Verify that R1 is advertising the route into OSPF. | Verify that the route for 192.168.40.0/24 now appears in R2's routing table using 'show ip route ospf'. | Test end-to-end connectivity to the remote LAN from R2.",True,No deterministic rule violation detected,The LAN is not being advertised into OSPF.,Incorrect
C020,Routing,"The router R1 is missing a default route (0.0.0.0/0) to the ISP, which prevents internal users from reaching Internet-bound destinations.",High,"Internet-bound traffic fails while internal routes work. | show ip route shows internal routes are present, but there is no 0.0.0.0/0 entry. | The Deterministic Rule Checker reports that the default route is missing.",Layer 3,show ip route | show ip interface brief | show running-config | include ip route,"Identify the correct next-hop IP address of the ISP router. | Configure the default route on R1 (e.g., ip route 0.0.0.0 0.0.0.0 <ISP_IP>). | Verify the default route exists in the routing table with 'show ip route'. | Test internet connectivity from internal hosts to verify the solution.",True,Default route is missing,Default route is missing.,Correct
C021,ACL,An ACL rule explicitly denies all IP traffic from the client subnet 192.168.10.0/24 to the web server at 192.168.50.20.,High,Users cannot access the web server after an ACL was deployed. | Clients are on the 192.168.10.0/24 subnet. | The web server IP address is 192.168.50.20. | The output of show access-lists shows: deny ip 192.168.10.0 0.0.0.255 host 192.168.50.20.,Layer 3,show running-config | show ip interface,Identify the interface where the ACL is applied. | Modify the ACL to permit TCP traffic on ports 80 and 443 from 192.168.10.0/24 to 192.168.50.20. | Verify the updated ACL configuration using show access-lists. | Test HTTP and HTTPS access from a client to the web server.,True,No deterministic rule violation detected,ACL explicitly denies required client-to-server traffic.,Correct
C022,ACL,"The configured ACL 110 is not applied to the interface G0/1, which prevents it from filtering the incoming traffic.",High,Traffic enters R1 through interface G0/1. | The output of 'show running-config interface g0/1' indicates there is no 'ip access-group' command configured. | The output of 'show access-lists' confirms that ACL 110 is configured on the router.,Layer 3,show running-config interface g0/1 | show access-lists,Access the configuration mode for interface G0/1 on R1. | Apply ACL 110 to the interface in the inbound direction using the command 'ip access-group 110 in'. | Verify that the ACL is successfully applied by running 'show running-config interface g0/1'. | Verify that the intended traffic is now being filtered by testing and inspecting ACL counters with 'show access-lists'.,True,No deterministic rule violation detected,ACL is configured but not applied to the intended interface.,Correct
C023,ACL,"The ACL is applied in the incorrect direction (out instead of in) on interface G0/0, which is the ingress interface for the client traffic.",Medium,Traffic from clients enters the router through interface G0/0. | The configuration on interface G0/0 shows 'ip access-group 120 out' instead of 'in'. | Clients are on 192.168.10.0/24 trying to reach the application on 192.168.60.10.,Layer 3/4,show access-lists 120 | show running-config interface g0/0,Review the statements of ACL 120 to verify permitted source and destination networks. | Enter interface configuration mode for G0/0 and remove the incorrect ACL direction: 'no ip access-group 120 out'. | Apply the ACL in the correct inbound direction: 'ip access-group 120 in' on interface G0/0. | Verify the configuration changes using 'show ip interface g0/0'. | Test connectivity from clients in the 192.168.10.0/24 subnet to the application at 192.168.60.10.,True,No deterministic rule violation detected,ACL direction is incorrect for the intended filtering point.,Correct
C024,ACL,"The ACL is configured to permit only a single host (192.168.10.10) instead of the entire 192.168.10.0/24 subnet, causing other hosts to be blocked by the implicit deny.",High,"The required topology policy is to permit the 192.168.10.0/24 subnet to the application server. | The 'show access-lists' command reveals the rule: 'permit ip host 192.168.10.10 host 192.168.60.10; implicit deny at end'. | Only one permitted host can reach the server, while all other hosts in the subnet are failing.",Layer 3,show access-lists | show running-config | include access-list,Remove the incorrect host-specific permit statement from the ACL. | Add a permit statement for the entire source subnet: permit ip 192.168.10.0 0.0.0.255 host 192.168.60.10 (or equivalent object-group/named ACL syntax). | Verify the updated ACL configuration using 'show access-lists'. | Test network connectivity to the application server from hosts other than 192.168.10.10 to confirm resolution.,True,No deterministic rule violation detected,Implicit deny blocks the remaining required clients.,Incorrect
