case_id,category,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept,severity,expected_next_command,expected_fix
C001,VLAN,PC1 cannot communicate with PC2 although both are connected to the same switch.,PC1 is connected to SW1 Fa0/1 and PC2 to Fa0/2. Both should be in VLAN 10.,show vlan brief: VLAN 10 SALES active; VLAN 20 HR active. show interfaces fa0/1 switchport: Access Mode VLAN 20.,PC1 access port is assigned to the wrong VLAN.,Layer 2,VLAN,Medium,show interfaces fa0/1 switchport,Assign Fa0/1 to VLAN 10 and verify connectivity.
C002,VLAN,A PC connected to a newly configured department switch port cannot reach other department PCs.,PC is connected to SW1 Fa0/10 and should belong to VLAN 30.,show vlan brief: VLAN 10 SALES active; VLAN 20 HR active; VLAN 30 is absent.,Required VLAN is missing from the switch.,Layer 2,VLAN,High,show vlan brief,Create VLAN 30 and assign the correct access port.
C003,VLAN,Users in VLAN 30 cannot communicate across two switches.,PC1 is on SW1 and PC2 is on SW2. VLAN 30 must cross the inter-switch link.,"show interfaces trunk: allowed VLANs 10,20. VLAN 30 is not listed.",Trunk does not allow VLAN 30.,Layer 2,VLAN,High,show interfaces trunk,Allow VLAN 30 on the trunk and verify VLAN propagation.
C004,VLAN,Devices on two switches have intermittent or failed communication after trunk configuration.,SW1 and SW2 are connected by a trunk. Both sides use different native VLANs.,show interfaces trunk: SW1 native VLAN 99; SW2 native VLAN 1.,Native VLAN mismatch exists on the trunk.,Layer 2,VLAN,Medium,show interfaces trunk,Configure the same native VLAN on both trunk ends and verify.
C005,Gateway,PC receives an IP address but cannot reach networks outside its local subnet.,PC address is 192.168.10.20/24. Router gateway should be 192.168.10.1.,ipconfig: IPv4 192.168.10.20; Mask 255.255.255.0; Default Gateway 192.168.20.1.,Default gateway does not belong to the PC subnet.,Layer 3,Default Gateway,High,ipconfig,Change the PC default gateway to 192.168.10.1.
C006,Gateway,Multiple PCs cannot reach remote networks and cannot ping their router gateway.,PCs connect to R1 G0/0.,show ip interface brief: GigabitEthernet0/0 192.168.10.1 administratively down/down.,Gateway interface is administratively down.,Layer 3,Gateway,High,show interfaces g0/0,Enable G0/0 with no shutdown and verify interface status.
C007,Gateway,A PC reports an IP conflict and network access is unstable.,PC1 and another device are configured in the same subnet.,show arp: 192.168.10.1 appears with changing MAC addresses; PC configuration uses 192.168.10.1.,PC has an IP conflict with the default gateway.,Layer 3,IP Addressing,High,show arp,Assign the PC a unique IP address outside the gateway address.
C008,Gateway,PC can reach some local devices but cannot reach its default gateway.,PC should be in 192.168.10.0/24.,ipconfig: IPv4 192.168.10.20; Mask 255.255.0.0; Gateway 192.168.10.1. Network is configured for /24.,Incorrect subnet mask causes incorrect local network determination.,Layer 3,Subnet Mask,Medium,ipconfig,Correct the subnet mask to 255.255.255.0 and retest.
C009,DHCP,PC automatically receives a 169.254.x.x address instead of a lab address.,PC is connected to VLAN 10 and should receive an address from the R1 DHCP pool.,ipconfig: IPv4 169.254.12.8; DHCP Enabled Yes. show ip dhcp pool: no pool for VLAN 10.,DHCP pool for the client network is missing.,Layer 3,DHCP,High,show ip dhcp pool,Create/configure the correct DHCP pool for VLAN 10.
C010,DHCP,Only some DHCP clients receive addresses and new clients fail to obtain an IP.,R1 provides DHCP for 192.168.20.0/24.,show running-config: ip dhcp excluded-address 192.168.20.1 192.168.20.254. show ip dhcp pool: 0 addresses available.,DHCP excluded-address configuration excludes the entire address pool.,Layer 3,DHCP,High,show running-config | section dhcp,Reduce the excluded range so usable addresses remain in the pool.
C011,DHCP,Clients in VLAN 20 cannot obtain DHCP addresses from the central DHCP server.,Clients are on SW1 VLAN 20; DHCP server is on another subnet.,show running-config interface vlan 20: no ip helper-address configured.,DHCP relay/helper address is missing.,Layer 3,DHCP Relay,High,show running-config interface vlan 20,Configure the DHCP server address with ip helper-address.
C012,DHCP,PC receives an IP address but cannot reach the router after DHCP assignment.,DHCP server should provide gateway 192.168.30.1.,ipconfig: IPv4 192.168.30.25; Mask 255.255.255.0; Gateway 192.168.30.254. show ip dhcp pool: network 192.168.30.0/24.,DHCP pool provides the wrong default gateway.,Layer 3,DHCP,High,show running-config | section dhcp,Correct the default-router value in the DHCP pool.
C013,DNS,PC can ping a web server by IP address but cannot access it using its hostname.,PC uses DNS server 192.168.50.10.,ipconfig: DNS Servers 192.168.60.10. nslookup server.example.local: request timed out.,PC is configured with the wrong DNS server.,Layer 7,DNS,Medium,ipconfig /all,Configure the correct DNS server address and retest name resolution.
C014,DNS,All clients report DNS resolution failures.,DNS server is located on the internal server network.,ping 192.168.50.10: success. nslookup: Server failed to respond. show interfaces g0/1: server interface up/up.,DNS service is unavailable even though the server is reachable.,Layer 7,DNS,High,nslookup,Check/restart the DNS service on the server and verify DNS records.
C015,DNS,Clients can reach the DNS server but DNS queries from the client subnet fail.,DNS server is 192.168.50.10 and clients are 192.168.10.0/24.,show access-lists: deny udp 192.168.10.0 0.0.0.255 host 192.168.50.10 eq 53.,ACL blocks DNS queries from the client subnet.,Layer 4,DNS/ACL,High,show access-lists,Permit DNS traffic to the DNS server and verify ACL order.
C016,DNS,Ping to the server IP succeeds but the application using the server name fails.,Client has network connectivity to the server.,nslookup app.example.local: Non-existent domain. DNS server responds successfully.,Required DNS record is missing.,Layer 7,DNS,Medium,nslookup app.example.local,Add/correct the DNS record and verify name resolution.
C017,Routing,PC can reach its local gateway but cannot reach a remote network.,R1 connects 192.168.10.0/24 to a remote 192.168.30.0/24 network.,show ip route: no route for 192.168.30.0/24.,Required route to the remote network is missing.,Layer 3,Routing,High,show ip route,Add the correct static/dynamic route and verify the routing table.
C018,Routing,Traffic to a remote network is sent to the wrong next hop.,R1 has two possible paths to the destination.,"show ip route 10.10.20.0: Routing entry points to 10.10.30.2, but correct next hop is 10.10.30.1.",Static route has an incorrect next-hop address.,Layer 3,Routing,High,show ip route 10.10.20.0,Correct the next-hop and verify reachability.
C019,Routing,OSPF neighbors are up but a remote LAN is not reachable.,R1 and R2 form an OSPF adjacency; R1 owns 192.168.40.0/24.,show ip ospf neighbor: FULL. show ip route ospf: no 192.168.40.0/24 on R2.,The LAN is not being advertised into OSPF.,Layer 3,OSPF,High,show ip ospf interface,Advertise the missing network in OSPF and verify the route.
C020,Routing,Internet-bound traffic fails while internal routes work.,R1 connects the internal network to an ISP router.,show ip route: internal routes present; no 0.0.0.0/0 entry.,Default route is missing.,Layer 3,Default Route,High,show ip route,Configure the correct default route toward the ISP.
C021,ACL,Users cannot access the web server after an ACL was deployed.,Clients use 192.168.10.0/24 and web server is 192.168.50.20.,show access-lists: deny ip 192.168.10.0 0.0.0.255 host 192.168.50.20.,ACL explicitly denies required client-to-server traffic.,Layer 4,ACL,High,show access-lists,Modify ACL rules to permit the required web traffic.
